X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER,SHAPE
-78.7700760090248,35.831169754507,4337079,0B61CA48-DE79-9641-365232D17ECEDF22,TROPICAL SMOOTHIE 020 NC,817 BASS PRO LN,CARY,NC,27513,35.83116267,-78.77007336,19193789333,
-78.6462395870322,35.7237820894005,4337080,0B8CAD6F-9F39-6789-01B377329CF62C1A,MoonRunners Saloon,1506 US 70 HWY W,GARNER,NC,27529,35.72377502,-78.64623698,19196625119,
-78.5331043325654,35.94802508383,4337081,0B9E3D12-B11A-1C55-EB0FCC2E3CD46B23,EURO CAFE,2101 S MAIN ST,WAKE FOREST,NC,27587,35.94801797,-78.53310175,19197615002,
-78.561279922562,35.9690405870539,4337082,0C5157D2-CADC-8E92-01BEB1637A2B053F,Keith's BBQ and Catering,13037 Keith Store  RD,WAKE FOREST,NC,27587,35.96903347,-78.56127733,19196186211,
-78.6006280056818,35.8362529103621,4337083,0CE3979B-A039-CFC3-6B304DD3542E0063,TAQUERIA CINCO DE MAYO,2259 New Hope Church RD,RALEIGH,NC,27604,35.83624582,-78.60062541,19194224933,
-78.6666520892211,35.7877162452784,4337084,0CE827B2-FB6C-25E8-380B5FB77583D6F5,Dunkin Donuts-Baskin Robbins PC#342343,2316 Hillsborough St Ste 106,RALEIGH,NC,27607,35.78770917,-78.66664947,19198385255,
-78.7995583321906,35.6675770057912,4337085,0CEBE91D-EDAB-D86D-EBC7B29B3EBEF7EF,LITTLE HEN,5160 SUNSET LAKE  RD,APEX,NC,27539,35.66756996,-78.79955568,19193630000,
-78.615580332705,35.8497909222033,4337086,0B4D3655-9183-E0D4-0A8CDF1A87CBBD98,TIJUANA FLATS #138,1310 E MILLBROOK RD,RALEIGH,NC,27609,35.84978383,-78.61557773,19197906409,
-78.7777809766133,35.7397998905085,4337087,05F4A2BC-9EA6-C527-77B0AB8B1405469E,FRESCA CAFE' AND GELATO,302 COLONADES  WAY,RALEIGH,NC,27518,35.73979283,-78.77777833,19198518171,
-78.6885653293306,35.7938823353607,4337088,0CF9098D-D402-284E-2FA0C5F24F9614D3,JASMIN BISTRO,3801 HILLSBOROUGH ST,RALEIGH,NC,27607,35.79387526,-78.6885627,19198351626,
-78.6225184936471,35.869240005412,4337089,0D049F23-D914-645B-5BBE16D45F81FC73,TENKO JAPAN,6325 FALLS OF NEUSE  RD,RALEIGH,NC,27615,35.86923291,-78.62251588,19198764545,
-78.742137661809,35.7538331738989,4337090,0D0D9797-A3E9-42A7-C99E0AF1DFCD579A,WILD WING CAFE,2300 WALNUT  ST,CARY,NC,27518,35.7538261,-78.74213502,19198030578,
-78.6764440057896,35.7480894130151,4337091,0D17A191-EA58-02A6-1C12593EEF72A0B7,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,RALEIGH,NC,27603,35.74808234,-78.67644139,19197550226,
-78.6530738299577,35.7204065864618,4337092,0D71A75D-D665-A0EF-807BCD025AE2BAEC,BISCUITVILLE #184,4305 FAYETTEVILLE RD,RALEIGH,NC,27603,35.72039952,-78.65307122,19198038112,
-78.6584510777272,35.7978413298106,4337093,0D86CC38-90AB-504B-CFE662D40469FA11,Zoes Kitchen,1028 OBERLIN RD,RALEIGH,NC,27605,35.79783425,-78.65844846,19198380909,
-78.5988844943037,35.7457138322949,4337094,0F37B006-D4E2-7054-55DA2C161E83A4F1,FRESH AND FRY SEAFOOD,2822 NEW BIRCH  DR,RALEIGH,NC,27610,35.74570676,-78.5988819,19196152898,
-78.5575220025049,35.9431734971067,4337095,0D781320-0196-91B6-45AA697DB1F4C78C,DUNKIN DONUTS 348408,13600 NEW FALLS OF NEUSE RD,RALEIGH,NC,27614,35.94316638,-78.55751941,19195560335,
-78.653339328999,35.7346523290179,4337096,0F4A8769-E8E3-7D8E-4F40C8675263904D,THE LATIN CORNER,421 CHAPANOKE RD,RALEIGH,NC,27603,35.73464526,-78.65333672,19192648584,
-78.5754488292249,35.6889511677218,4337097,0FCF1A50-B262-BB45-84CBD85EF5804DB5,Shuck'em Shack,1177 TIMBER DR E,GARNER,NC,27529,35.68894411,-78.57544624,19197727035,
-78.5791022422715,35.8706162518237,4337098,0F7B6ECB-A771-FCF4-C152187E370E220E,Crazy Fire Mongolian Grill #8,7201 Old Wake Forest RD,RALEIGH,NC,27616,35.87060915,-78.57909965,19198769000,
-78.7069580866458,35.8254546705576,4337099,0FECEB45-B2AE-76E8-77671B9858BA5FD6,Rudinos's Pizza &amp; Grinders Sports Corner,3101-101 EDWARDS MILL RD,RALEIGH,NC,27612,35.82544758,-78.70695545,19197864235,
-78.7805775003574,35.8047100058626,4337100,10059478-C540-1703-0F2CFAA3AD7FFDD8,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR,CARY,NC,27513,35.80470293,-78.78057485,19194813811,
-78.5854754997913,35.824400329232,4337101,100B15EA-15E7-74FA-752DECAD5927606A,PHO CALI,3310 CAPITAL  BLVD,RALEIGH,NC,27604-3340,35.82439324,-78.5854729,19198787898,
-78.8310814186467,35.6362549938155,4337102,100F694A-86A1-1842-7C1118D2F49043EE,MCDONALDS #32242,7100 GB ALFORD HWY,HOLLY SPRINGS,NC,27540,35.63624795,-78.83107876,19195524071,
-78.7835467458882,35.8045210892993,4337103,102567C8-158A-D963-9E3C131A45EECF63,Arby's #6554,1031 Harrison AVE,CARY,NC,27513,35.80451401,-78.78354409,19194691887,
-78.636106089541,35.778546167862,4337104,10260,ROLY POLY,201  E HARGETT ST,RALEIGH,NC,27601,35.77853909,-78.63610348,111111111111111,
-78.820858340583,35.7636499106941,4337105,102BD5D6-9918-1501-C0F310627A616BAB,GOLDEN CHINA CHINESE RESTAURANT,2432 SW CARY PKY,CARY,NC,27513,35.76364284,-78.82085568,19193807891,
-78.7645844994587,35.829900251775,4337106,10268,Umstead Hotel & Spa Pool Bar,100 Woodland Pond DR,CARY,NC,27513,35.82989317,-78.76458185,111111111111111,
-78.7965263383583,35.6668031733173,4337107,1030ABD8-A8BB-ED7D-5D3813B21B3A6BF4,Rudino's,5217 Sunset Lake RD,HOLLY SPRINGS,NC,27540,35.66679612,-78.79652369,111111111919,
-78.7031380053912,35.8587724186595,4337108,104FD68A-10FF-100C-00D0DB759282A0B7,GINO'S PIZZA,6260 GLENWOOD AVE,RALEIGH,NC,27612-2650,35.85876533,-78.70313537,19197837555,
-78.7714236619625,35.9030615028008,4337109,10526,Capital Cabaret,6713 Mt Herman  RD,MORRISVILLE,NC,27560,35.9030544,-78.77142101,111111111111111,
-78.6477642488787,35.7854139224039,4337110,10561,C. GRACE,407 GLENWOOD AVE,RALEIGH,NC,27603,35.78540684,-78.64776164,111111111111111,
-78.7442754131013,35.7532391732338,4337111,10626B94-E736-E0A3-C0AAC0FC7FDC80D8,CAPPOLLA'S PIZZA &amp; GRILL,2462 WALNUT ST,CARY,NC,27518,35.7532321,-78.74427277,19198547777,
-78.6240460893165,35.8753512570148,4337112,106E3C03-EFF1-EF8E-D1429DE4181BAB2F,Chick-fil-A #792,6701 FALLS OF NEUSE RD,RALEIGH,NC,27615-5373,35.87534416,-78.62404348,19198454556,
-78.6905471736828,35.7944502569064,4337113,1071EE5E-1226-9DA3-B05A180D943822C3,WAFFLE HOUSE #378,3909 HILLSBOROUGH ST,RALEIGH,NC,27607-5217,35.79444318,-78.69054455,19198331247,
-78.5814662514987,35.8356424192371,4337114,10799,FLASHBACKS SPORTSBAR & LOUNGE,4004 CAPITAL BLVD,RALEIGH,NC,27604,35.83563533,-78.58146366,111111111111111,
-78.7761728384713,35.7922523292188,4337115,107A6D1D-103F-C532-FBE5DA646999368F,KOKO's Italian Kitchen,8306 Chapel Hill RD,CARY,NC,27513,35.79224525,-78.77617019,19194613882,
-78.7258880783284,35.6251685026692,4337116,1089EAE9-91A5-E568-D745DD9818CEB333,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST,FUQUAY-VARINA,NC,27526,35.62516146,-78.72588545,19195678272,
-78.7805775003574,35.8047100058626,4337117,10972,THE GREAT,243 GRANDE HEIGHTS  DR,CARY,NC,27513,35.80470293,-78.78057485,111111111111111,
-78.8218771585764,35.8565947543076,4337118,10AAB7A0-568B-ED86-1C7A14F3077A78C9,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD,MORRISVILLE,NC,27560,35.85658767,-78.82187449,19194651910,
-78.6929983328172,35.8167766592029,4337119,10B95BE1-C6ED-6ED7-77651B9EDEF0A73C,RANDY'S PIZZA,2458 WYCLIFF RD,RALEIGH,NC,27607,35.81676957,-78.69299571,19193225990,
-78.8485960060842,35.7915679940022,4337120,10CCCF7C-1447-1195-3E3A106F4313A94F,RED BOWL ASIAN BISTRO,2020 BOULDERSTONE WAY,CARY,NC,27519,35.79156092,-78.84859333,19193889977,
-78.4845075754387,35.7868345807837,4337121,10D20211-F51D-C965-289835667F477C67,MASSEY'S OLE TIMEY HOT DOGS,107 S FIRST AVE,KNIGHTDALE,NC,27545,35.7868275,-78.48450501,,
