,NAME,ADDRESS,CITY,STATE,PHONE_NUMBER
150,Bruegger's Bagel Bakery #721,222-117 GLENWOOD AVE,RALEIGH,NC,111111111111111.0
151,The Pour House Drink Stand,224 S BLOUNT ST,RALEIGH,NC,111111111111111.0
152,HIMALAYAN NEPALI CUISINE,746 E CHATHAM ST,CARY,NC,19194660550.0
153,THE CORNER TAVERN & GRILL,1303-03 NW MAYNARD RD,CARY,NC,1111111111919.0
154,US AIRWAYS CLUB,2400 TERMINAL BLVD,RALEIGH,NC,111111111111111.0
155,BACK 9 PUB,4220 NW CARY PKY,CARY,NC,19194623550.0
156,Umstead Hotel &amp; Spa Food Service,100 Woodland Pond,CARY,NC,19194474000.0
157,MONA PITA MEDITERRANEAN GRILL,5260 CAPITAL BLVD,RALEIGH,NC,19194316500.0
158,STARBUCKS #8529,5959 TRIANGLE TOWN  BLVD,RALEIGH,NC,19197922227.0
159,"ANDY'S BURGERS, SHAKES, &amp; FRIES ",239 TIMBER DR,GARNER,NC,19197792111.0
160,China Best,632 Holly Springs RD,HOLLY SPRINGS,NC,111111111111111.0
161,Smithfield Chicken & Bar-B-Que #95,3578 Davis DR,MORRISVILLE,NC,19194682607.0
162,Chili's Grill and Bar #1183,6605 Knightdale BLVD,KNIGHTDALE,NC,19192610167.0
163,Ba-Da Wings,2161 Avent Ferry RD,RALEIGH,NC,19198323902.0
164,FIREHOUSE SUBS #1138,4111 ED DR,RALEIGH,NC,19197837102.0
165,DAILY GRIND,10970 CHAPEL HILL RD,MORRISVILLE,NC,19198648775.0
166,Mt Fuji,1311 E Broad ST,FUQUAY VARINA,NC,19195571888.0
167,Tangerine Cafe,2422 SW Cary PKY,CARY,NC,19194688688.0
168,ANDYS BURGERS SHAKES &amp; FRIES,3504 DAVIS DR,MORRISVILLE,NC,19194650422.0
169,THE CARY CAFE,212 GRANDE HEIGHTS DR,CARY,NC,19194699415.0
170,BELGIAN CAFE,1232 W WILLIAMS ST,APEX,NC,19193725128.0
171,Ralph's Grocery &amp; Deli/Grill,2317 Eagle Rock RD,WENDELL,NC,19193662262.0
172,GYPSYS SHINY DINER,1550 BUCK JONES RD,CARY,NC,19194693663.0
173,BITTERSWEET,16 E MARTIN ST,RALEIGH,NC,19199773829.0
174,BALI-HAI,1571 US 70 HWY W,GARNER,NC,19842005100.0
175,Subway #2615,3416 POOLE RD,RALEIGH,NC,111111111111111.0
176,MATTHEWS HOUSE CAFE &amp; CATERING,317 W CHATHAM ST,CARY,NC,19194671944.0
177,Shortie's Out of Sight Cafe,975 Walnut ST,RALEIGH,NC,111111111111111.0
178,STANDARD FOODS,205 E FRANKLIN ST,RALEIGH,NC,19198184974.0
179,Bojangles #37,1000 Claren CIR,MORRISVILLE,NC,19194607171.0
180,Jersey Mike's #3042,7949 Fayetteville RD,RALEIGH,NC,19196610111.0
181,Panda Express #1352,1000 Beaver Creek Commons DR,APEX,NC,19193626369.0
182,DQ Grill and Chill #41609,5260 New Bern AVE,RALEIGH,NC,19197920127.0
183,"ANDY'S BURGERS, SHAKES, & FRIES",11216-106 CAPITAL BLVD,WAKE FOREST,NC,19195549747.0
184,JUMBO CHINA,404-183 E SIX FORKS RD,RALEIGH,NC,19195468858.0
185,MORRISVILLE DELI,3524 DAVIS DR,MORRISVILLE,NC,19193803767.0
186,Lam's Garden Restaurant,1100-113 Raleigh BLVD,RALEIGH,NC,19198282118.0
187,WAFFLE HOUSE #378,3909 HILLSBOROUGH ST,RALEIGH,NC,19198331247.0
