OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,CREATED_DATE,LAST_EDITED_DATE,SHAPEAREA,SHAPELEN
2383461,OS-038,1.82460618,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,959,SWIFT CREEK,OS-038,,,79479.7817641502,1846.70072273411
2383462,OS-042,0.92319593,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,959,SWIFT CREEK,OS-042,,,40214.4102257598,1018.42824994982
2383463,OS-056,1.45183417,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,959,SWIFT CREEK,OS-056,,,63241.8215893527,1664.77740993374
2383464,,15.98338673,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,THE TRUST FOR PUBLIC LAND,,,MARKS CREEK,,,,692840.202675304,3443.03623098977
2383465,Legacy at Forty Two,32.05640031,WAKE COUNTY,WAKE COUNTY,PARK,,LAND DEDICATION,,MIDDLE CREEK,,,,1396376.79756895,12449.7984020325
2383466,Carver Elementary School Park,12.96546623,WAKE COUNTY,WENDELL,PARK,,,,,,,,564775.719806396,3528.69367184286
2383467,Walnut Creek-Eliza Pool Trail,13.14698485,"PENNY, MARION C",RALEIGH,GREENWAY,,,,WALNUT CREEK,,,,572682.660094026,6350.70182123462
2383468,Crabtree - Oak Park Greenway,32.41173139,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,,,1282491.77095951,21862.8561402819
2383469,Crabtree Valley Trail,1.2617485,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,,,54961.7644449781,1144.73871571411
2383470,Walnut Creek - Eliza Pool Greenway,20.51914478,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,WALNUT CREEK,,,,893813.946725153,6047.61336751599
2383471,Walnut Creek - Eliza Pool Greenway,12.55376481,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,WALNUT CREEK,,,,546841.995245138,6550.63325823813
2383472,Rocky Branch Trail,5.37177471,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,GREENWAY,,,,,,,,233994.506195339,3160.07188706837
2383473,Indian Creek Greenway,2.50939896,TOWN OF MORRISVILLE,MORRISVILLE,GREENWAY,,,,,,,,109309.418567681,1764.73117783531
2383474,Indian Creek Greenway,0.82034111,TOWN OF MORRISVILLE,MORRISVILLE,GREENWAY,,,,,,,,35787.6188394714,2191.04044939972
2383475,,2.33996692,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,101928.959049924,1718.99283506887
2383476,Walnut Creek Elementary,19.46446073,WAKE COUNTY,RALEIGH,SCHOOL,,,,,,,,847849.36460282,4393.77248935711
2383477,Triangle Town Center,2.59715231,CITY OF RALEIGH,RALEIGH,GREENWAY,CITY OF RALEIGH,GREENWAY EASEMENT,,NR Perry Creek Trib A,,,,113131.954493811,4526.86610687708
2383478,Sterling Glenwood Village,1.24150089,CITY OF RALEIGH,RALEIGH,GREENWAY,CITY OF RALEIGH,GREENWAY EASEMENT,,CRABTREE CREEK,,,,54079.7789206636,1582.90142633302
2383479,Future School Park,54.02472692,TOWN OF CARY,WAKE COUNTY,PARK,,,,,,,,2362439.43467828,6536.68751893313
2383480,,13.57188086,TRIANLE LAND CONSERVANCY,WAKE COUNTY,OPEN SPACE,,,,WHITE OAK CREEK,,,,591191.130054765,4710.67865138221
2383481,,7.85843159,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,GREENWAY EASEMENT,,,,,,342313.571718989,5146.7705670658
2383482,,1.18839619,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,51737.1989134924,1359.11817482034
2383483,Sue Helton Park,0.2264876,TOWN OF APEX,APEX,PARK,,,,,,,,9865.79985867754,408.463579497373
2383484,,2.775182,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE,,,,RICHLAND CREEK,,,,120886.927865926,1432.1619791767
2383485,,36.10168208,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,1572589.25851189,10244.5858220041
2383486,Heritage Trail,9.3006821,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,GREENWAY,,,,NEILLS CREEK,,,,405137.712337565,4112.74763075978
2383487,Coles Branch Greenway,16.36489894,TOWN OF CARY,CARY,GREENWAY,,,,COLES BRANCH,,,,713115.253822404,6523.03591903022
2383488,,4.65210626,TOWN OF CARY,CARY,OPEN SPACE,,,,COLES BRANCH,,,,202645.748630785,4595.39851669915
2383489,,0.47881936,TOWN OF CARY,CARY,OPEN SPACE,,,,,,,,20857.3713260742,756.32265404615
2383490,,1.70314737,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,74189.099555788,1305.91226582278
2383491,Joslin Garden,2.96302492,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,129069.365340168,2867.15546103652
2383492,,0.47260983,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,20586.884293533,710.496556740674
2383493,Davie Park,0.86147719,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,42071.0313114816,894.961851315388
2383494,Sherwood Forest,17.19873776,CITY OF RALEIGH,RALEIGH,PARK,,,,WALNUT CREEK,,,,749176.958583842,5253.06758074415
2383495,,0.60500966,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,WALNUT CREEK,,,,26354.220892883,845.571837745738
2383496,,10.35456914,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,451045.031690075,7306.82082470496
2383497,Berkshire Downs West Mini Park,7.84038403,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,341527.128330193,2997.69819131453
2383498,,12.54733511,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,PERRY CREEK,,,,546561.917605002,3239.25510434763
2383499,,6.21858509,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,PERRY CREEK,,,,270881.566308756,3302.05737869049
2383500,,12.56997396,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,547548.065525482,3852.03851780771
2383501,H-7 School Site,88.34416509,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,,,,,,,,3829034.14395942,8689.46978374344
2383502,,0.08868087,TOWN OF APEX,APEX,OPEN SPACE,,,,,,,,3862.93883665065,300.701953081091
2383503,Ballantine Elementary Park,16.26349879,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,PARK,,,89,,,,,708438.007387064,3653.93016063946
2383504,Ballantine Elementary School,11.3710529,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,,,89,,,,,493625.561677771,4093.74551551731
2383505,Fuquay-Varina Elementary Park,12.75157238,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,PARK,,,128,,,,,555458.492934985,4489.93841890265
2383506,Knightdale Elementary Park,12.6356369,WAKE COUNTY,KNIGHTDALE,PARK,,,129,,,,,550408.343266103,4543.07785854418
2383507,Wildwood Elementary School Park,11.40321479,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,PARK,,,84,,,,,496724.036232135,3596.05219214983
2383508,Wake Forest Middle School Park,16.09842065,WAKE COUNTY,WAKE FOREST,PARK,,,134,,,,,701245.716362304,3452.96787240922
2383509,Vance Elementary School Park,8.29293278,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,PARK,,,133,PANTHER BRANCH,,,,361235.134413401,3968.12197445965
2383510,Vance Elementary School,8.62141517,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,,,,,,,,375542.057155645,2846.43103316481
