OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,CREATED_DATE,LAST_EDITED_DATE,SHAPEAREA,SHAPELEN
2382692,Southgate Park,8.82755725,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,384529.22749249,4578.3544640423
2382693,FEMA HMGP Phase 3-1,1.00697675,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,BIG BRANCH,,,,43346.0773601916,829.788712637234
2382694,FEMA HMGP Phase 1-2,1.06572839,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,46423.1286588981,844.586214517261
2382695,Spring Forest Road Park,21.80941113,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,949792.541838327,4310.32777907385
2382696,East Millbrook Middle School,48.74188737,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,772,,,,,2123196.66630134,6861.15200918438
2382697,Arlington Hills Greenway,2.58808541,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,112737.000786898,2787.65201920408
2382698, ,0.5495368,WAKE COUNTY,RALEIGH,MITIGATION, , , ,,,,,23937.8230166391,659.584114793732
2382699, ,16.03457555,WAKE COUNTY,RALEIGH,GREENWAY, , , ,TURKEY CREEK,,,,703199.460495009,5676.79714729222
2382700,Green Elementary,14.66353893,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,638743.755662308,3505.1091266775
2382701,Brookhaven Nature Park,25.91679282,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,1128935.49513725,4887.61014648024
2382702, ,6.52602806,CITY OF RALEIGH,RALEIGH,MITIGATION, , , ,MARSH CREEK,,,,276810.09866332,2077.64057024858
2382703,York Elementary,14.73590625,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,641896.076456217,3228.90115097464
2382704, ,16.09515501,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,700053.363635173,7738.56796016337
2382705,Schenck Forest,394.15260662,NORTH CAROLINA STATE UNIVERSITY,RALEIGH,RESEARCH,Museum of Art, , ,RICHLAND CREEK,,,,17169287.5442607,18342.9513306983
2382706,North Cary Park,60.82466391,TOWN OF CARY,CARY,PARK, , , ,,,,,2649549.00348395,12536.6960167436
2382707,Daniels Middle School,21.12341057,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,785,,,,,920135.764628068,3928.79092304774
2382708,Middle Crabtree Creek Trail,6.33531118,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,,,287090.739721453,4451.83260907402
2382709,Ridge Neighborhood Park,6.77591542,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,291720.381322179,2553.42420531152
2382710,Martin Middle School,29.22319966,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,791,,,,,1272962.65592123,5310.39702507487
2382711,Hill Street Park,16.58477216,CITY OF RALEIGH,RALEIGH,PARK, , , ,MARSH CREEK,,,,722432.675107096,4243.15535848298
2382712,Reedy Creek Elementary,48.42163737,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,2107984.55063554,6971.40632141995
2382713,Middle Crabtree Creek Trail,2.10650422,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,,,92819.1821359403,1555.11521899498
2382714,OS-033,45.89325519,WAKE COUNTY,GARNER,OPEN SPACE,,FEE SIMPLE,959,SWIFT CREEK,OS-033,,,1999110.22013613,8428.38884590938
2382715,,50.07742827,TOWN OF GARNER,GARNER,OPEN SPACE,,,,SWIFT CREEK,,,,2156883.39002201,6930.39851638213
2382716,OS-032,122.70690197,WAKE COUNTY,GARNER,OPEN SPACE,,EASEMENT,959,SWIFT CREEK,OS-032,,,5359287.08323218,18993.0858921431
2382717,Hunter Elementary,11.36501515,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,,,495285.337682296,3494.46245126806
2382718,,0.08640976,RIGHT OF WAY,RALEIGH,OPEN SPACE,,,,,,,,3764.00907750471,268.363384240633
2382719,Fleming Loop Recreational Park,36.24696868,SIXTEEN TEN WOLFPACK LANE,FUQUAY-VARINA,PARK,,,,,,,,1578917.95556877,5811.58155353962
2382720,Wilburn Elementary,15.58591997,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,677138.318651232,3470.98446010379
2382721,Kiwanis Park,41.31948642,CITY OF RALEIGH,RALEIGH,PARK, , , ,CRABTREE CREEK,,,,1799877.63456115,11143.7674836597
2382722, ,1.52162229,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,MARSH CREEK,,,,66281.8669574124,2358.29629407178
2382723,Fallon Park,9.82475983,CITY OF RALEIGH,RALEIGH,PARK, , , ,CRABTREE CREEK,,,,427966.538375335,5892.70217945381
2382724,Joyner Elementary,12.72798343,WAKE COUNTY,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,789,,,,,554430.958102725,3097.31204138174
2382725,Pollock Park,0.56593452,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,24652.1077751254,893.027564029636
2382726,Clark & Merrimon Park,0.66271988,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,28868.0778917793,848.86183501877
2382727,,84.24050434,UNITED STATES OF AMERICA,CARY,OPEN SPACE,,,,KITTS CREEK,,,,3669516.36922551,11858.5629543996
2382728,,0.44861912,WAKE COUNTY,RALEIGH,GREENWAY,,,,,,,,19541.8489176335,639.313700786547
2382729,,0.11705286,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,5098.82268365077,378.658668443359
2382730,Crabtree Creek Trail,72.35962968,TRIANGLE GREENWAYS COUNCIL,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,,,3131746.60351828,10430.9282293481
2382731,OS-013,26.38580392,TOWN OF WENDELL / ZEBULON,WENDELL,GREENWAY, ,PARTNERSHIP,950,,OS-013,,,1149365.61860536,9348.52590425919
2382732,Buckeye Trail,175.65522485,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,,,7698853.17481956,27036.8087526041
2382733,Knightdale Environmental Park,8.40541244,TOWN OF KNIGHTDALE,KNIGHTDALE,PARK, , , ,,,,,368386.504577134,2816.65628237062
2382734,Dillard Drive Schools,56.48438565,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,2460459.83891957,6908.63466852341
2382735,Fuller Elementary,14.62459496,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,BOARD OF EDUCATION, , ,,,,,638297.339456947,3507.60256846948
2382736,Walnut Creek Park South,203.07809553,CITY OF RALEIGH,RALEIGH,PARK, , , ,WALNUT CREEK,,,,8846081.86204513,17011.3852167908
2382737,Apex Community Park,163.73822197,TOWN OF APEX,APEX,PARK, , , ,,,,,7161275.42269275,19342.0990059657
2382738,Neuse River Greenway,388.42771795,CITY OF RALEIGH,WAKE COUNTY,GREENWAY,WAKE COUNTY, , ,NEUSE RIVER,,,,17146439.1240759,93913.9953800893
2382739, ,2.69228378,TOWN OF APEX,APEX,OPEN SPACE, , , ,BEAVER CREEK,,,,117275.881253318,2170.46427873739
2382740,Biltmore Hills Park,39.01759687,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,1699606.51979147,6004.72293632438
2382741,Southeast Raleigh High School,58.48930407,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,2547785.33006919,6624.88703731335
2382742,North Hills Drive Park,31.91543613,CITY OF RALEIGH,RALEIGH,PARK, , , ,CRABTREE CREEK,,,,1390236.26011825,7325.71706876471
2382743,FEMA HMGP Phase 3-2,0.31191715,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,13587.1111666184,497.367760767072
2382744,,0.31057281,RALEIGH CITY OF,RALEIGH,OPEN SPACE,,,,,,,,13528.5515138174,479.333779729489
2382745,FEMA HMGP Phase 1-1,2.23184133,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,BIG BRANCH,,,,97219.0081761366,1461.94095622887
2382746,Oakwood Park,12.72120968,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,554135.893451571,3015.94369030774
2382747,Crabtree Creek Trail,94.900076,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,,,4033839.74567876,14811.0938431111
2382748,OS-017,115.4871037,WAKE COUNTY / TOWN OF CARY,WAKE COUNTY,OPEN SPACE,,Planned Park,,,OS-017,,2019/06/27 15:17:31+00,5030618.1454629,14301.4754154803
2382749,Harper Park,4.67374305,TOWN OF KNIGHTDALE,KNIGHTDALE,PARK, , , ,,,,,203588.247374681,1811.80580199907
2382750,Mary E Phillips High,6.06558744,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,263725.122069169,2143.33872508853
2382751,Urban Park,1.14581863,TOWN OF CARY,CARY,PARK, , , ,,,,,49911.8595430535,1464.82173866219
2382752,Wells Park,2.94405414,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,128242.998139086,1683.52478375414
2382753, ,0.58498752,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,25482.0563541193,666.720776499467
2382754,Compiegne Park,0.45737103,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,19923.0820196187,605.158901453975
2382755,Oakwood Common Park,0.1272964,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,5545.0311062716,315.890264998665
2382756,Longview Park,6.90964876,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,300984.299940511,2940.90630760316
2382757,Walnut Creek Greenway,5.47193825,TOWN OF CARY,CARY,GREENWAY, , , ,WALNUT CREEK,,,,238357.630279781,3732.03999623489
2382758,Wendell Elementary,5.79778806,WAKE COUNTY BOARD OF EDUCATION,WENDELL,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,764,,,,,252551.647822738,2340.89421609314
2382759,Poole Road Canoe Access Area,23.11948272,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,,,1007084.66712321,4071.77158078579
2382760,Shiloh Park and Luther Green Center,7.75113204,TOWN OF MORRISVILLE,MORRISVILLE,PARK, , , ,,,,,337639.311586642,2936.71799773329
2382761, ,11.80647999,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,514290.268186674,3749.99904377706
2382762, ,1.9449403,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,84721.5993744217,1362.74744958827
2382763,Mordecai Mini Park,0.46592314,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,20295.6117887442,582.530700236006
2382764,,9.68422097,UNITED STATES OF AMERICA,WAKE COUNTY,GREENWAY,,,,PANTHER CREEK,,,,421848.000732178,3596.98021859091
2382765,Robert V. Godbold Park,24.61540934,TOWN OF CARY,CARY,PARK,,,,,,,,1072247.23085034,8215.95583229163
2382766, ,0.72716691,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,MARSH CREEK,,,,31675.3905691046,994.616833349104
2382767,Millbrook Elementary,16.67596535,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,761,,,,,726405.05083643,3849.46114345952
2382768, ,13.08496882,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,569981.241585425,4172.83457632121
2382769, ,4.05510487,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,MARSH CREEK,,,,176640.368259919,2503.24294794004
2382770,Ironwood Trail,31.29581213,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,1363245.56745908,12798.5171517079
2382771,Lake Crabtree County Park,332.00696949,WAKE COUNTY,WAKE COUNTY,PARK, , ,37,CRABTREE CREEK,,,,14462217.8460477,18560.6034074788
2382772,Brooks Elementary,20.45954929,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,891217.966971483,4124.52345141738
2382773,Carroll Middle School,21.53818423,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,751,,,,,938208.085193121,4258.45111367771
2382774, ,2.87540169,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,125180.613878864,2078.00366603453
2382775,Hemlock Bluffs Nature Park,136.34520117,STATE OF NORTH CAROLINA,CARY,PARK, , , ,SWIFT CREEK,,,,5945923.00397693,17375.4376762754
2382776,Koka Booth Amphitheatre,14.11305614,TOWN OF CARY,CARY,PARK, , , ,,,,,614764.725253795,3388.83141083529
2382777,Cloverdale Park,6.20078103,TOWN OF GARNER,GARNER,PARK, , , ,,,,,270106.021456437,3353.82887151581
2382778,Apex Middle School,11.68201716,WAKE COUNTY BOARD OF EDUCATION,APEX,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,779,,,,,508868.667524836,3139.50326193465
2382779,West Street Park,1.33374999,TOWN OF APEX,APEX,PARK, , , ,,,,,57996.0698608254,1127.72364621635
2382780,Apex Elementary School,9.50999189,WAKE COUNTY BOARD OF EDUCATION,APEX,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,777,,,,,414255.246542494,3095.8626169326
2382781,Apex Elementary School Park,4.90622705,WAKE COUNTY,APEX,PARK,WAKE COUNTY BOARD OF EDUCATION, ,138,,,,,213715.250297448,2179.07709649222
2382782, ,27.41430346,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,MITIGATION, , , ,SWIFT CREEK,,,,1194167.05859486,5528.14761060846
2382783,,3.14749537,TOWN OF MORRISVILLE NORTH CAROLINA,MORRISVILLE,OPEN SPACE,,,,CRABTREE CREEK,,,,137104.898287387,1695.66398069459
2382784,,0.09368433,TOWN OF MORRISVILLE,MORRISVILLE,GREENWAY,,,,,,,,4080.88930025379,357.921362654454
2382785,Lexie Lane Park,2.82203822,TOWN OF CARY,CARY,PARK,,,,,,,,122927.984953251,1828.33252582753
2382786,Library Park,1.65590326,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK, , , ,,,,,72131.1458221157,1237.17768041111
2382787,Honeycutt Road Park,21.86811969,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK, , , ,,,,,952575.293593867,5031.85444625947
2382788,Raychem Park,10.78763505,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK, , , ,,,,,469909.382855238,2864.04651007905
2382789,South Park,25.09993632,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK, , , ,,,,,1093353.22617208,4258.09988117864
2382790,Carroll Howard Johnson Park,26.41379023,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK, , , ,NEILLS CREEK,,,,1150584.70221366,7118.44201370989
2382791,Speight Branch Greenway,11.13907566,TOWN OF CARY,CARY,GREENWAY,,,,SPEIGHT BRANCH,,,,485218.135860886,6828.83820112368
2382792,OS-037,2.74817685,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,957,HOMINY CREEK,OS-037,,,119710.583374373,1874.353652053
2382793,OS-031,64.61934807,WAKE COUNTY,GARNER,OPEN SPACE,,FEE SIMPLE,958,STEEP HILL CREEK,OS-031,,,2814818.80203126,6959.81941771238
2382794,Brentwood Trail,2.44929498,BRENTMOOR APARTMENTS LLC,RALEIGH,GREENWAY,,,,MARSH CREEK,,,,106691.289247013,3002.5139444841
2382795,,1.08308837,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,47179.2984239254,1950.21143156264
2382796,Willow Lake,5.79189036,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,EASEMENT,,HARRIS CREEK,,,,252294.743899277,5360.96158478085
2382797,FEMA - HMGP Phase 2,2.40780515,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,106425.091393243,2039.43402152512
2382798,City Farm,2.48889609,AQUA EMPIRE LLC,RALEIGH,GREENWAY,,,,WALNUT CREEK,,,,108440.839056536,1594.85325394933
2382799,Wake County Board of Education,2.95199015,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,OPEN SPACE,,,,,,,,128588.672694204,3357.92802057548
2382800,,0.72079378,STATE OF NORTH CAROLINA,WAKE FOREST,GREENWAY,,,,SMITH CREEK,,,,31397.7769265974,1837.27359542429
2382801,,0.87752466,TOWN OF GARNER,GARNER,OPEN SPACE,,,,,,,,38224.9763712152,770.630374834117
2382802,,0.08939077,TOWN OF CARY,CARY,GREENWAY,,,,,,,,3893.86183682754,736.280236751717
2382803,,0.05132057,TOWN OF CARY,CARY,GREENWAY,,,,,,,,2235.52420456284,439.41230551954
2382804,Annie Jones Park,9.76119972,TOWN OF CARY,CARY,PARK, , , ,,,,,425197.859875511,2792.5660878554
2382805,Sears Farm Rd Park,12.91145697,TOWN OF CARY,CARY,PARK,,,,,,,,562423.065423055,3258.49287802315
2382806,,0.12053436,TOWN OF APEX,APEX,GREENWAY,,,,,,,,5250.47653526586,343.6015029506
2382807,Crabtree Village Greenway,2.79345248,TOWN OF APEX,APEX,GREENWAY, , , ,,,,,121682.790018871,3293.20777986931
2382808,Farmington Woods Elementary,20.04541167,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,787,,,,,873178.132438792,3987.8971922565
2382809,Salem Middle School,15.41569709,WAKE COUNTY BOARD OF EDUCATION,APEX,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,87,,,,,671507.765382834,3962.00754730164
2382810,Tarbert Gatehouse Trail,11.30051005,TOWN OF CARY,CARY,GREENWAY, , , ,,,,,492295.22354362,6026.46424631027
2382811,White Oak Creek Greenway,13.28932612,WAKE COUNTY,CARY,GREENWAY,WAKE COUNTY BOARD OF EDUCATION, , ,WHITE OAK CREEK,,,,578883.045591276,4294.02607248926
2382812,Davis Drive Elem.&  Middle Schools,55.38614011,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,2404730.59103697,6577.21999959234
2382813,Durant Nature Park,256.67167168,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,11180618.018386,20051.8531204651
2382814,Mitchell Mill Park,80.03740245,WAKE COUNTY,WAKE COUNTY,PARK, , , ,LITTLE RIVER,,,,3522652.86070264,12702.2305313336
2382815,OS-029,96.56683145,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,953,LITTLE RIVER,OS-029,,,4206754.05175863,12089.8380512742
2382816,Greenway,18.16970917,BENTLEY & ASSOCIATES,RALEIGH,GREENWAY,,,,PERRY CREEK,,,,791472.531358155,5717.80952551526
2382817,,3.6154266,TOWN OF CARY,CARY,OPEN SPACE,,,,,,,,157487.982669469,3802.8849183563
2382818,Carolina Pines Park,38.79754893,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,1690021.23156359,7241.16732019589
2382819,Forest Park,0.02069467,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,901.45967214566,117.215194100486
2382820,Forest Park,1.83066994,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,79743.9824059735,1526.03534175631
2382821,Drewry Hills Park,58.13580707,CITY OF RALEIGH,RALEIGH,PARK, ,FEMA HMGP Phase 1-10, ,CRABTREE CREEK,,,,2532395.75597266,16664.3659595604
2382822,Tom Brooks Park,239.98060537,TOWN OF CARY,CARY,PARK, , , ,BACHELOR BRANCH,OS-021,,,10453506.6694438,17629.7313816738
2382823, ,1.7882231,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,MARSH CREEK,,,,77894.9984088169,2221.44122461367
2382824, ,0.26433046,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,11514.235050869,467.266050277051
2382825,,0.42191019,TOWN OF CARY,CARY,OPEN SPACE,,,,,,,,18378.4079357605,1313.28497774459
2382826,,6.43022444,WAKE COUNTY,WAKE COUNTY,MITIGATION,,,,BRIER CREEK,,,,280100.576557724,2753.11325239599
2382827,,24.019603,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,1046293.90661121,5797.31185998833
2382828,Lions Park,41.40614462,CITY OF RALEIGH,RALEIGH,PARK, , , ,BRIDGES BRANCH,,,,1803651.65954249,7578.89025067457
2382829, ,0.6304808,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,27463.7437470354,894.335095099766
2382830,Conn Elementary,13.49084515,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,590661.083120507,3482.38745607064
2382831, ,0.16042169,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,6987.9686256794,414.431305507104
2382832,Northwoods Elementary,18.15579716,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,792,,,,,790866.524468661,4207.12251781319
2382833, ,3.1259114,TOWN OF WENDELL,WENDELL,GREENWAY, , , ,,,,,136164.700420049,2442.27606068259
2382834,Powell Elementary,14.1721855,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,617340.400576881,3207.73709193015
2382835,Poplar Park,0.96855116,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,43337.7807842498,1010.62343046
2382836,Halifax Community Park,4.7263896,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,198510.491425539,1906.51751896955
2382837,Fred A Olds Elementary,2.94520386,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL, , , ,,,,,128293.080030269,1444.21273809913
2382838,Nash Square,4.07741227,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,177612.078517718,1685.34085520173
2382839,RS Dunham Park,5.58593127,TOWN OF CARY,CARY,PARK, , , ,,,,,243323.166223215,2031.48377848952
2382840,Adams Elementary,16.20101344,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,776,,,,,705716.145366608,3299.13966629028
2382841,White Oak Creek Greenway,8.45506522,TOWN OF CARY,CARY,GREENWAY, , , ,WHITE OAK CREEK,,,,368302.640956558,5732.68525541414
2382842,Moore Square,4.09018827,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,178168.60126058,1689.15513044536
2382843,Dorothy Park,0.79439105,TOWN OF CARY,CARY,PARK, , , ,,,,,34603.6741296289,1694.68166758581
2382844,Holly Springs & Holly Grove Schools,91.44321632,WAKE COUNTY BOARD OF EDUCATION,HOLLY SPRINGS,SCHOOL,WAKE COUNTY BOARD OF EDUCATION,"High, Middle and Elementary Schools",96,,,,,3982345.8585037,9310.97681805628
2382845,NCSU Agriculture Research Land,49.59063776,NORTH CAROLINA STATE UNIVERSITY,RALEIGH,RESEARCH,Museum of Art, , ,,,,,2160168.18102689,6248.37085060391
2382846,,0.49437621,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,GREENWAY,,,,,,,,21535.0275753943,841.93251169182
2382847,Kentwood Park,14.63283762,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,637406.406837416,3426.11859427271
2382848,Cedar Fork Elementary School,26.00790879,WAKE COUNTY BOARD OF EDUCATION,MORRISVILLE,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,1132831.97233431,4296.32523402185
2382849,Panther Creek High,70.96446063,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION,,,,,,,3090840.28693288,7126.2444102165
2382850,Brier Creek Elementary,9.98462519,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION,,97,,,,,434927.537053893,2933.11410083129
2382851,Worthdale Park,1.77142635,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,77163.2699028185,1872.27069267699
2382852,,0.57832904,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE,,,,,,,,25192.013066666,984.941944669892
2382853,NCSU Agricultural Research Land,242.80358023,STATE OF NORTH CAROLINA,RALEIGH,RESEARCH,Museum of Art,,,RICHLAND CREEK,,,,10576523.9546604,25076.0609073781
2382854,FEMA HMGP Phase 1-3,3.17370804,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,138246.722322118,3212.78176724504
2382855,,4.71228653,"CORBETT, GRAFTON JAMES & SHERRY W",WAKE COUNTY,OPEN SPACE,WAKE COUNTY,,,,,,,205267.071598283,2735.87956765134
2382856,,7.99996256,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,GREENWAY,,,,KENNETH CREEK,,,,348478.369121459,3454.35191929287
2382857,Colby & Hardimont,0.05087298,RIGHT OF WAY,RALEIGH,OPEN SPACE,,,,,,,,2216.02721057887,226.364350670176
2382858,Central Corp Research Station,25.59442927,STATE OF NORTH CAROLINA,WAKE COUNTY,RESEARCH,,,,LITTLE CREEK,,,,1114893.33920591,8162.30287336329
2382859,,0.86568303,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,37709.1528768723,1799.01283221422
2382860,Apex High School,49.22907798,WAKE COUNTY BOARD OF EDUCATION,APEX,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,778,,,,,2144418.63671304,5893.99411091832
2382861, ,10.7334731,TOWN OF APEX,APEX,GREENWAY, , , ,,,,,467550.088406013,5789.51950576699
2382862,Kingwood Forest Neighborhood Park,4.15814863,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,181128.954309116,2360.56913725655
2382863,OS-062,84.91252256,WAKE COUNTY / CITY OF RALEIGH,WAKE COUNTY,OPEN SPACE,NCSU,PARTNERSHIP,952,NEUSE RIVER,OS-062,,,12061800.1738763,34144.3337078597
2382864,Penny Road Elementary,12.89403725,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,797,,,,,561664.262783727,2966.60277588681
2382865,Swift Creek Bluffs,23.25327062,TRIANGLE LAND CONSERVANCY,CARY,OPEN SPACE,TRIANGLE LAND CONSERVANCY, , ,SWIFT CREEK,,,,1012912.46833932,6776.22592982993
2382866,Middle Creek Park,129.40017704,WAKE COUNTY,CARY,PARK,WAKE COUNTY BOARD OF EDUCATION, ,135,,,,,5636671.65913224,22572.431962655
2382867,Middle Creek Schools,68.402903,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,135,,,,,2979678.45129428,9672.27298589033
2382868,Smith Creek Greenway,17.44159025,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,SMITH CREEK,,,,759755.671100428,4150.78966430064
2382869,,6.61371019,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,SMITH CREEK,,,,288093.215960865,3316.51655190487
2382870,,0.1222968,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,5327.24847145186,316.626641300319
2382871,,0.11842258,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,5158.48766912024,308.346882783152
