Date,HumidityMax,HumidityAvg,HumidityMin
2001-03-28,85.0,47.8,24.0
2001-03-29,100.0,91.0,48.0
2001-03-30,100.0,75.5,44.0
2001-03-31,100.0,84.5,54.0
2001-04-01,100.0,92.3,60.0
2001-04-02,86.0,53.4,27.0
2001-04-03,96.0,79.7,57.0
2001-04-04,100.0,86.6,62.0
2001-04-05,100.0,69.0,39.0
2001-04-06,77.0,59.0,46.0
2001-04-07,90.0,64.5,41.0
2001-04-08,81.0,57.2,32.0
2001-04-09,78.0,54.6,36.0
2001-04-10,93.0,56.2,30.0
2001-04-11,100.0,86.3,64.0
2001-04-12,93.0,66.0,38.0
2001-04-13,90.0,69.2,46.0
2001-04-14,96.0,56.1,24.0
2001-04-15,90.0,69.8,45.0
2001-04-16,96.0,59.0,43.0
2001-04-17,93.0,67.8,41.0
2001-04-18,76.0,47.5,22.0
2001-04-19,92.0,51.5,21.0
2001-04-20,82.0,48.3,25.0
2001-04-21,87.0,61.1,42.0
2001-04-22,87.0,60.2,37.0
2001-04-23,96.0,62.4,38.0
2001-04-24,94.0,72.3,38.0
2001-04-25,97.0,88.3,69.0
2001-04-26,100.0,64.2,24.0
2001-04-27,97.0,56.6,21.0
2001-04-28,86.0,53.3,32.0
2001-04-29,74.0,47.6,25.0
2001-04-30,85.0,49.9,33.0
2001-05-01,90.0,63.1,43.0
2001-05-02,84.0,62.2,44.0
2001-05-03,97.0,62.4,37.0
2001-05-04,97.0,61.8,31.0
2001-05-05,97.0,62.9,31.0
2001-05-06,87.0,70.0,57.0
2001-05-07,87.0,65.4,44.0
2001-05-08,100.0,69.4,41.0
2001-05-09,93.0,73.5,50.0
2001-05-10,100.0,75.0,44.0
2001-05-11,100.0,71.1,42.0
2001-05-12,100.0,75.7,43.0
2001-05-13,93.0,65.7,38.0
2001-05-14,100.0,63.3,27.0
2001-05-15,100.0,81.2,38.0
2001-05-16,100.0,95.7,75.0
2001-05-17,100.0,98.1,93.0
2001-05-18,100.0,91.5,67.0
2001-05-19,100.0,70.4,34.0
2001-05-20,94.0,84.3,69.0
2001-05-21,100.0,89.9,72.0
2001-05-22,100.0,78.2,40.0
2001-05-23,94.0,70.2,40.0
2001-05-24,100.0,64.8,38.0
2001-05-25,81.0,61.8,44.0
2001-05-26,100.0,91.8,52.0
2001-05-27,97.0,68.5,42.0
2001-05-28,100.0,91.1,73.0
2001-05-29,100.0,88.8,46.0
2001-05-30,100.0,68.8,39.0
2001-05-31,81.0,63.3,48.0
2001-06-01,100.0,93.0,68.0
2001-06-02,100.0,88.1,54.0
2001-06-03,90.0,65.3,44.0
2001-06-04,96.0,70.3,54.0
2001-06-05,93.0,74.4,52.0
2001-06-06,100.0,80.0,50.0
2001-06-07,100.0,81.2,56.0
2001-06-08,100.0,85.4,62.0
2001-06-09,100.0,81.7,54.0
2001-06-10,100.0,74.8,44.0
2001-06-11,97.0,76.0,51.0
2001-06-12,100.0,79.5,53.0
2001-06-13,100.0,91.3,61.0
2001-06-14,100.0,96.8,89.0
2001-06-15,100.0,91.3,72.0
2001-06-16,100.0,84.9,59.0
2001-06-17,93.0,66.2,40.0
2001-06-18,93.0,66.8,43.0
2001-06-19,96.0,66.1,45.0
